name,address,coordinates
"Capri by Fraser Caprilicious,Delite ",Changi Business Park Changi Business Park Central 1 #-108 Singapore 486037,"1.3342655648281,103.963583777969"
Chargrill Bar , Ang Mo Kio Avenue 10 #1- Singapore 560407,"1.36191347168136,103.855247675955"
Chargrill Bar , Bedok North Street 4 #1- Singapore 460088,"1.33313335141957,103.93911091838"
Chargrill Bar , Bishan Street 24 #1-1 Singapore 570280,"1.35742118848515,103.844275796636"
Chargrill Bar , Bukit Batok Street 11 #1- Singapore 650155,"1.3479130299555,103.743495452206"
Chargrill Bar , Bukit Batok Street 34 #1- Singapore 650347,"1.36227034023359,103.75119294815"
Chargrill Bar , Bukit Batok East Ave 4 #1-6 Singapore 650273,"1.34842264501772,103.757579235851"
Chargrill Bar , Bukit Panjang Ring Road #1-141A Singapore 671259,"1.37727544742532,103.773096818985"
Chargrill Bar , Canberra Link #1-7 Singapore 750505,"1.45026201350514,103.822534723204"
Chargrill Bar , Choa Chu Kang Crescent #1-4 Singapore 682673,"1.4009153293371,103.747961179569"
Chargrill Bar , Clementi Ave 3 #1-27 Singapore 120442,"1.31412253918369,103.764518603743"
Chargrill Bar , Clementi West Street 2 #1-10 Singapore 120727,"1.30434542247938,103.763393661738"
Chargrill Bar ,Kovan City Hougang Street 21 #1-K7 Singapore 530203,"1.35816293300064,103.884400276495"
Chargrill Bar , Hougang Ave 8 #1-39 Singapore 530681,"1.37311062518506,103.885636629702"
Chargrill Bar , Jalan Membina #1-40 Singapore 161026,"1.2826343702548,103.825595760467"
Chargrill Bar , Jurong Gateway Road #1-55 Singapore 600132,"1.33431017547325,103.739636652255"
Chargrill Bar , Jurong West Avenue 1 #1-1 Singapore 640491,"1.34958656008753,103.72631532639"
Chargrill Bar , Lorong Liput #-546 Singapore 277744,"1.31074117393728,103.794934522448"
Chargrill Bar , Marina Parade Central #1-3 Singapore 440080,"1.30248201886186,103.907738800314"
Chargrill Bar , Owen Road #1-8 Singapore 210046,"1.31514019612727,103.850798372662"
Chargrill Bar , Pasir Ris Drive 6 #1-40 Singapore 510443,"1.36949284240389,103.957348089003"
Chargrill Bar , Sembawang Drive #1-14 Singapore 750463,"1.4555120818615,103.814540292447"
Chargrill Bar , Serangoon Central Drive #1-4 Singapore 550261,"1.3538803223748,103.872366669232"
Chargrill Bar , Serangoon North Ave 1 #1-16F Singapore 550107,"1.36990039124635,103.870224889283"
Hot Tomato ,Bedok Mall New Upper Changi Road #B1-10 Singapore 467360,"1.3247720681702,103.929267656464"
Hot Tomato ,Causeway Point Woodlands Square #2-2 Singapore 738099,"1.43600784517148,103.785688739235"
Hot Tomato ,NEX Serangoon Central #B1-8 Singapore 556083,"1.35043817177432,103.87170454945"
Hot Tomato ,Plaza Singapura Orchard Road #B2-31 Singapore 238839,"1.3007475429726,103.845047622213"
Hot Tomato ,Jurong Point Jurong West Central 2 #3-379 Singapore 648886,"1.33983015257941,103.70646088413"
Hot Tomato ,Westgate Gateway Drive #B1-11 Singapore 608532,"1.33402528745454,103.742586017746"
Hot Tomato ,JEWEL Changi Airport 78 Airport Boulevard #4-7 Singapore 819666,"1.36034099671656,103.989077555194"
Hot Tomato ,Paya Lebar Quarter 10 Paya Lebar Road #4-20 Singapore 409057,"1.31752384126856,103.892724434212"
